Neuron_1,Neuron_2,Neuron_3,Neuron_4,
0.01,0.01,0.01,0.01,
0.02,0.02,0.02,0.02,
0.03,0.03,0.03,0.03,
0.04,0.04,0.04,0.04,
0.04,0.04,0.04,0.04,
0.05,0.05,0.05,0.05,
0.06,0.06,0.06,0.06,
0.02,0.03,0.07,0.07,
0.03,0.04,0.07,0.07,
0.03,0.04,0.08,0.08,
0.04,0.05,0.09,0.09,
0.05,0.06,0.09,0.09,
0.05,0.06,0.10,0.10,
0.06,0.07,0.11,0.11,
0.07,0.08,0.11,0.11,
0.07,0.08,0.12,0.12,
0.08,0.09,0.12,0.13,
0.08,0.10,0.13,0.13,
0.09,0.10,0.13,0.14,
0.10,0.11,0.14,0.14,
0.10,0.11,0.14,0.15,
0.11,0.12,0.15,0.15,
0.11,0.12,0.15,0.15,
0.11,0.13,0.16,0.16,
0.12,0.13,0.16,0.16,
0.12,0.13,0.16,0.17,
0.13,0.14,0.17,0.17,
0.13,0.14,0.17,0.17,
0.13,0.15,0.17,0.18,
0.14,0.15,0.18,0.18,
0.14,0.15,0.18,0.18,
0.14,0.16,0.18,0.19,
0.15,0.16,0.19,0.19,
0.15,0.16,0.19,0.19,
0.15,0.17,0.19,0.20,
0.16,0.17,0.19,0.20,
0.16,0.17,0.20,0.20,
0.16,0.17,0.20,0.20,
0.16,0.18,0.20,0.21,
0.17,0.18,0.20,0.21,
0.17,0.18,0.20,0.21,
0.17,0.18,0.21,0.21,
0.17,0.19,0.21,0.21,
0.18,0.19,0.21,0.22,
0.18,0.19,0.21,0.22,
0.18,0.19,0.21,0.22,
0.18,0.19,0.21,0.22,
0.18,0.20,0.22,0.22,
0.18,0.20,0.22,0.22,
0.19,0.20,0.22,0.23,
0.19,0.20,0.22,0.23,
0.19,0.20,0.22,0.23,
0.19,0.21,0.22,0.23,
0.19,0.21,0.22,0.23,
0.19,0.21,0.22,0.23,
0.19,0.21,0.22,0.23,
0.20,0.21,0.23,0.23,
0.20,0.21,0.23,0.24,
0.20,0.21,0.23,0.24,
0.20,0.22,0.23,0.24,
0.20,0.22,0.23,0.24,
0.20,0.22,0.23,0.24,
0.20,0.22,0.23,0.24,
0.20,0.22,0.23,0.24,
0.20,0.22,0.23,0.24,
0.20,0.22,0.23,0.24,
0.21,0.22,0.23,0.24,
0.21,0.22,0.23,0.24,
0.21,0.22,0.23,0.25,
0.21,0.23,0.23,0.25,
0.21,0.23,0.23,0.25,
0.21,0.23,0.23,0.25,
0.21,0.23,0.23,0.25,
0.21,0.23,0.23,0.25,
0.21,0.23,0.23,0.25,
0.21,0.23,0.24,0.25,
0.21,0.23,0.24,0.25,
0.21,0.23,0.24,0.25,
0.21,0.23,0.24,0.25,
0.21,0.23,0.24,0.25,
0.21,0.23,0.24,0.25,
0.21,0.23,0.24,0.25,
0.21,0.24,0.24,0.25,
0.21,0.24,0.24,0.25,
0.21,0.24,0.24,0.25,
0.21,0.24,0.24,0.25,
0.21,0.24,0.24,0.25,
0.21,0.24,0.24,0.25,
0.22,0.24,0.24,0.26,
0.22,0.24,0.24,0.26,
0.22,0.24,0.24,0.26,
0.22,0.24,0.24,0.26,
0.22,0.24,0.24,0.26,
0.22,0.24,0.24,0.26,
0.22,0.24,0.24,0.26,
0.22,0.24,0.23,0.26,
0.22,0.24,0.23,0.26,
0.22,0.24,0.23,0.26,
0.22,0.24,0.23,0.26,
0.22,0.24,0.23,0.26,
0.22,0.24,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.22,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.26,
0.21,0.25,0.23,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.21,0.26,0.22,0.27,
0.20,0.26,0.21,0.27,
0.20,0.26,0.21,0.27,
0.20,0.26,0.21,0.27,
0.20,0.26,0.21,0.27,
0.20,0.27,0.21,0.27,
0.20,0.27,0.21,0.27,
0.20,0.27,0.21,0.27,
0.20,0.27,0.21,0.27,
0.20,0.27,0.21,0.27,
0.20,0.27,0.21,0.27,
0.20,0.27,0.21,0.28,
0.20,0.27,0.21,0.28,
0.20,0.27,0.21,0.28,
0.20,0.27,0.20,0.28,
0.20,0.27,0.20,0.28,
0.20,0.27,0.20,0.28,
0.19,0.27,0.20,0.28,
0.19,0.27,0.20,0.28,
0.19,0.27,0.20,0.28,
0.19,0.27,0.20,0.28,
0.19,0.28,0.20,0.28,
0.19,0.28,0.20,0.28,
0.19,0.28,0.20,0.28,
0.19,0.28,0.20,0.28,
0.19,0.28,0.20,0.28,
0.19,0.28,0.19,0.28,
0.19,0.28,0.19,0.28,
0.19,0.28,0.19,0.29,
0.19,0.28,0.19,0.29,
0.18,0.28,0.19,0.29,
0.18,0.28,0.19,0.29,
0.18,0.28,0.19,0.29,
0.18,0.28,0.19,0.29,
0.18,0.29,0.19,0.29,
0.18,0.29,0.19,0.29,
0.18,0.29,0.18,0.29,
0.18,0.29,0.18,0.29,
0.18,0.29,0.18,0.29,
0.18,0.29,0.18,0.29,
0.17,0.29,0.18,0.29,
0.17,0.29,0.18,0.30,
0.17,0.29,0.18,0.30,
0.17,0.29,0.18,0.30,
0.17,0.29,0.17,0.30,
0.17,0.30,0.17,0.30,
0.17,0.30,0.17,0.30,
0.17,0.30,0.17,0.30,
0.17,0.30,0.17,0.30,
0.16,0.30,0.17,0.30,
0.16,0.30,0.17,0.30,
0.16,0.30,0.17,0.31,
0.16,0.30,0.16,0.31,
0.16,0.31,0.16,0.31,
0.16,0.31,0.16,0.31,
0.16,0.31,0.16,0.31,
0.16,0.31,0.16,0.31,
0.15,0.31,0.16,0.31,
0.15,0.31,0.16,0.31,
0.15,0.31,0.15,0.32,
0.15,0.31,0.15,0.32,
0.15,0.32,0.15,0.32,
0.15,0.32,0.15,0.32,
0.14,0.32,0.15,0.32,
0.14,0.32,0.15,0.32,
0.14,0.32,0.14,0.32,
0.14,0.32,0.14,0.32,
0.14,0.32,0.14,0.33,
0.14,0.33,0.14,0.33,
0.13,0.33,0.14,0.33,
0.13,0.33,0.13,0.33,
0.13,0.33,0.13,0.33,
0.13,0.33,0.13,0.33,
0.13,0.33,0.13,0.34,
0.13,0.34,0.13,0.34,
0.12,0.34,0.12,0.34,
0.12,0.34,0.12,0.34,
0.12,0.34,0.12,0.34,
0.12,0.34,0.12,0.35,
0.12,0.35,0.12,0.35,
0.11,0.35,0.11,0.35,
0.11,0.35,0.11,0.35,
0.11,0.35,0.11,0.35,
0.11,0.35,0.11,0.36,
0.10,0.36,0.10,0.36,
0.10,0.36,0.10,0.36,
0.10,0.36,0.10,0.36,
0.10,0.36,0.10,0.36,
0.09,0.37,0.10,0.37,
0.09,0.37,0.09,0.37,
0.09,0.37,0.09,0.37,
0.09,0.37,0.09,0.37,
0.08,0.38,0.08,0.38,
0.08,0.38,0.08,0.38,
0.08,0.38,0.08,0.38,
0.08,0.38,0.08,0.38,
0.07,0.39,0.07,0.39,
0.07,0.39,0.07,0.39,
0.07,0.39,0.07,0.39,
0.06,0.39,0.06,0.39,
0.06,0.40,0.06,0.40,
0.06,0.40,0.06,0.40,
0.06,0.40,0.06,0.40,
0.05,0.41,0.05,0.41,
0.05,0.41,0.05,0.41,
0.05,0.41,0.05,0.41,
0.04,0.42,0.04,0.41,
0.04,0.42,0.04,0.42,
0.04,0.42,0.03,0.42,
0.03,0.43,0.03,0.42,
0.03,0.43,0.03,0.43,
0.03,0.43,0.02,0.43,
0.02,0.44,0.02,0.43,
0.02,0.44,0.02,0.44,
0.01,0.44,0.01,0.44,
0.01,0.45,0.01,0.45,
0.01,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.49,0.00,0.48,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.50,0.00,0.49,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.51,0.00,0.50,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.52,0.00,0.51,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.53,0.00,0.52,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.54,0.00,0.53,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.56,0.00,0.55,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.57,0.00,0.56,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.58,0.00,0.57,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.59,0.00,0.58,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.60,0.00,0.59,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.61,0.00,0.60,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.62,0.00,0.61,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
