Neuron_1,Neuron_2,Neuron_3,
0.01,0.01,0.01,
0.02,0.02,0.02,
0.03,0.03,0.03,
0.03,0.03,0.03,
0.04,0.04,0.04,
0.05,0.05,0.05,
0.06,0.06,0.06,
0.06,0.06,0.06,
0.07,0.07,0.07,
0.02,0.03,0.07,
0.02,0.03,0.08,
0.02,0.03,0.09,
0.03,0.04,0.10,
0.04,0.05,0.10,
0.04,0.05,0.11,
0.05,0.06,0.12,
0.05,0.06,0.12,
0.06,0.07,0.13,
0.06,0.07,0.13,
0.06,0.08,0.14,
0.07,0.08,0.14,
0.07,0.08,0.15,
0.08,0.09,0.15,
0.08,0.09,0.16,
0.08,0.09,0.16,
0.08,0.10,0.16,
0.09,0.10,0.17,
0.09,0.10,0.17,
0.09,0.10,0.17,
0.09,0.11,0.18,
0.09,0.11,0.18,
0.10,0.11,0.18,
0.10,0.11,0.19,
0.10,0.11,0.19,
0.10,0.11,0.19,
0.10,0.12,0.19,
0.10,0.12,0.20,
0.10,0.12,0.20,
0.11,0.12,0.20,
0.11,0.12,0.20,
0.11,0.12,0.20,
0.11,0.12,0.21,
0.11,0.12,0.21,
0.11,0.12,0.21,
0.11,0.13,0.21,
0.11,0.13,0.21,
0.11,0.13,0.22,
0.11,0.13,0.22,
0.11,0.13,0.22,
0.11,0.13,0.22,
0.11,0.13,0.22,
0.11,0.13,0.22,
0.11,0.13,0.23,
0.11,0.13,0.23,
0.11,0.13,0.23,
0.11,0.13,0.23,
0.11,0.13,0.23,
0.11,0.13,0.23,
0.11,0.13,0.23,
0.11,0.13,0.24,
0.11,0.13,0.24,
0.11,0.13,0.24,
0.11,0.13,0.24,
0.11,0.13,0.24,
0.11,0.13,0.24,
0.11,0.13,0.24,
0.11,0.13,0.25,
0.11,0.13,0.25,
0.11,0.13,0.25,
0.11,0.13,0.25,
0.10,0.13,0.25,
0.10,0.13,0.25,
0.10,0.13,0.25,
0.10,0.13,0.25,
0.10,0.13,0.26,
0.10,0.13,0.26,
0.10,0.13,0.26,
0.10,0.13,0.26,
0.10,0.12,0.26,
0.10,0.12,0.26,
0.10,0.12,0.26,
0.10,0.12,0.27,
0.10,0.12,0.27,
0.10,0.12,0.27,
0.09,0.12,0.27,
0.09,0.12,0.27,
0.09,0.12,0.27,
0.09,0.12,0.28,
0.09,0.12,0.28,
0.09,0.12,0.28,
0.09,0.12,0.28,
0.09,0.12,0.28,
0.09,0.12,0.28,
0.09,0.12,0.28,
0.09,0.12,0.29,
0.08,0.12,0.29,
0.08,0.12,0.29,
0.08,0.11,0.29,
0.08,0.11,0.29,
0.08,0.11,0.29,
0.08,0.11,0.30,
0.08,0.11,0.30,
0.08,0.11,0.30,
0.08,0.11,0.30,
0.07,0.11,0.30,
0.07,0.11,0.31,
0.07,0.11,0.31,
0.07,0.11,0.31,
0.07,0.11,0.31,
0.07,0.11,0.31,
0.07,0.11,0.31,
0.07,0.11,0.32,
0.06,0.10,0.32,
0.06,0.10,0.32,
0.06,0.10,0.32,
0.06,0.10,0.32,
0.06,0.10,0.33,
0.06,0.10,0.33,
0.06,0.10,0.33,
0.05,0.10,0.33,
0.05,0.10,0.34,
0.05,0.10,0.34,
0.05,0.10,0.34,
0.05,0.09,0.34,
0.05,0.09,0.34,
0.05,0.09,0.35,
0.04,0.09,0.35,
0.04,0.09,0.35,
0.04,0.09,0.35,
0.04,0.09,0.36,
0.04,0.09,0.36,
0.04,0.09,0.36,
0.03,0.09,0.36,
0.03,0.09,0.37,
0.03,0.08,0.37,
0.03,0.08,0.37,
0.03,0.08,0.37,
0.03,0.08,0.38,
0.02,0.08,0.38,
0.02,0.08,0.38,
0.02,0.08,0.39,
0.02,0.08,0.39,
0.02,0.08,0.39,
0.01,0.07,0.39,
0.01,0.07,0.40,
0.01,0.07,0.40,
0.01,0.07,0.40,
0.01,0.07,0.41,
0.00,0.07,0.41,
0.00,0.07,0.41,
0.00,0.07,0.42,
0.00,0.06,0.42,
0.00,0.06,0.42,
0.00,0.06,0.43,
0.00,0.06,0.43,
0.00,0.06,0.43,
