Neuron_1,Neuron_2,Neuron_3,
0.01,0.01,0.01,
0.02,0.02,0.02,
0.03,0.03,0.03,
0.04,0.04,0.04,
0.04,0.04,0.04,
0.05,0.05,0.05,
0.06,0.06,0.06,
0.07,0.07,0.07,
0.07,0.07,0.07,
0.02,0.08,0.08,
0.02,0.09,0.09,
0.02,0.09,0.10,
0.03,0.10,0.11,
0.04,0.11,0.11,
0.04,0.11,0.12,
0.05,0.12,0.13,
0.06,0.12,0.14,
0.06,0.13,0.14,
0.07,0.13,0.15,
0.07,0.14,0.15,
0.08,0.14,0.16,
0.09,0.15,0.17,
0.09,0.15,0.17,
0.10,0.15,0.18,
0.10,0.16,0.18,
0.11,0.16,0.19,
0.11,0.17,0.19,
0.11,0.17,0.20,
0.12,0.17,0.20,
0.12,0.17,0.21,
0.13,0.18,0.21,
0.13,0.18,0.22,
0.13,0.18,0.22,
0.14,0.19,0.23,
0.14,0.19,0.23,
0.15,0.19,0.23,
0.15,0.19,0.24,
0.15,0.19,0.24,
0.16,0.20,0.24,
0.16,0.20,0.25,
0.16,0.20,0.25,
0.17,0.20,0.25,
0.17,0.20,0.26,
0.17,0.20,0.26,
0.18,0.20,0.26,
0.18,0.21,0.27,
0.18,0.21,0.27,
0.18,0.21,0.27,
0.19,0.21,0.27,
0.19,0.21,0.28,
0.19,0.21,0.28,
0.19,0.21,0.28,
0.20,0.21,0.28,
0.20,0.21,0.28,
0.20,0.21,0.29,
0.20,0.21,0.29,
0.21,0.21,0.29,
0.21,0.21,0.29,
0.21,0.22,0.29,
0.21,0.22,0.29,
0.22,0.22,0.30,
0.22,0.22,0.30,
0.22,0.22,0.30,
0.22,0.22,0.30,
0.22,0.22,0.30,
0.23,0.22,0.30,
0.23,0.22,0.30,
0.23,0.22,0.30,
0.23,0.22,0.30,
0.23,0.22,0.31,
0.24,0.22,0.31,
0.24,0.22,0.31,
0.24,0.22,0.31,
0.24,0.22,0.31,
0.24,0.22,0.31,
0.25,0.22,0.31,
0.25,0.22,0.31,
0.25,0.22,0.31,
0.25,0.22,0.31,
0.25,0.22,0.31,
0.25,0.22,0.31,
0.26,0.22,0.31,
0.26,0.22,0.31,
0.26,0.22,0.31,
0.26,0.21,0.31,
0.26,0.21,0.31,
0.26,0.21,0.31,
0.27,0.21,0.31,
0.27,0.21,0.31,
0.27,0.21,0.31,
0.27,0.21,0.31,
0.27,0.21,0.31,
0.27,0.21,0.31,
0.28,0.21,0.31,
0.28,0.21,0.31,
0.28,0.21,0.31,
0.28,0.21,0.31,
0.28,0.21,0.31,
0.28,0.21,0.31,
0.28,0.21,0.31,
0.29,0.21,0.31,
0.29,0.21,0.31,
0.29,0.21,0.30,
0.29,0.21,0.30,
0.29,0.21,0.30,
0.29,0.21,0.30,
0.29,0.21,0.30,
0.30,0.21,0.30,
0.30,0.21,0.30,
0.30,0.21,0.30,
0.30,0.21,0.30,
0.30,0.21,0.30,
0.30,0.21,0.30,
0.30,0.21,0.30,
0.30,0.21,0.29,
0.31,0.21,0.29,
0.31,0.21,0.29,
0.31,0.21,0.29,
0.31,0.21,0.29,
0.31,0.21,0.29,
0.31,0.21,0.29,
0.31,0.21,0.29,
0.31,0.21,0.29,
0.31,0.21,0.28,
0.32,0.21,0.28,
0.32,0.21,0.28,
0.32,0.21,0.28,
0.32,0.21,0.28,
0.32,0.22,0.28,
0.32,0.22,0.28,
0.32,0.22,0.28,
0.32,0.22,0.27,
0.32,0.22,0.27,
0.32,0.22,0.27,
0.32,0.22,0.27,
0.32,0.22,0.27,
0.33,0.22,0.27,
0.33,0.22,0.27,
0.33,0.22,0.26,
0.33,0.22,0.26,
0.33,0.22,0.26,
0.33,0.22,0.26,
0.33,0.22,0.26,
0.33,0.22,0.26,
0.33,0.22,0.26,
0.33,0.23,0.25,
0.33,0.23,0.25,
0.33,0.23,0.25,
0.33,0.23,0.25,
0.33,0.23,0.25,
0.33,0.23,0.25,
0.33,0.23,0.25,
0.33,0.23,0.24,
0.33,0.23,0.24,
0.33,0.23,0.24,
0.33,0.23,0.24,
